Date,Close,High,Low,Open,Volume
2004-08-19,2.4805288314819336,2.572490948053174,2.3722498936767993,2.472122773210547,897427216
2004-08-20,2.6775567531585693,2.6965918992497553,2.4844838896751833,2.4970913195361195,458857488
2004-08-23,2.704503059387207,2.8053655894795213,2.695850891086642,2.7378766889277246,366857939
2004-08-24,2.592515468597412,2.7588887660973636,2.5603775980873573,2.7499895432413908,306396159
2004-08-25,2.620450258255005,2.6698934124941425,2.5680412483570305,2.5947401020231093,184645512
2004-08-26,2.667668342590332,2.668657040145922,2.5873240057583904,2.5944931279332617,142572401
2004-08-27,2.6241583824157715,2.685220267763395,2.6127867057755947,2.6723648350876354,124826132
2004-08-30,2.521812915802002,2.6078428451983524,2.521812915802002,2.6026506454500833,104429967
2004-08-31,2.530712604522705,2.5638389412984854,2.525521350880501,2.528982502166952,98825037
2004-09-01,2.4783031940460205,2.5455447910407454,2.463964715710837,2.538870018881148,183633734
2004-09-02,2.5094518661499023,2.530712411077297,2.445918233984355,2.4520988946153928,303810504
2004-09-03,2.472369432449341,2.5151378087091354,2.455312392392517,2.495608315447998,103538639
2004-09-07,2.5111825466156006,2.521565762493027,2.462481981902271,2.4970913605126936,117506800
2004-09-08,2.528981924057007,2.5470286079021105,2.484483682707569,2.490416103175605,100186120
2004-09-09,2.529229164123535,2.539117084458438,2.4968442372196527,2.5346674729789918,81620792
2004-09-10,2.6038870811462402,2.634294138915772,2.5042603239383383,2.511676737209856,174804764
2004-09-13,2.657532215118408,2.680028514126486,2.6318220576904374,2.6360246135905094,157628624
2004-09-14,2.7561705112457275,2.7687779422366785,2.6399798630744873,2.6562964477810356,217608605
2004-09-15,2.768777847290039,2.823906367128911,2.7242795997712306,2.7331797698911653,215279909
2004-09-16,2.8174781799316406,2.862717828452675,2.7601254505784443,2.7771824914931575,186207345
2004-09-17,2.9044976234436035,2.9044976234436035,2.8070953112741055,2.8286029110103463,190350817
2004-09-20,2.950726270675659,3.0061018497481564,2.886698523597279,2.8911481356265614,213585582
