Date,Close,High,Low,Open,Volume
1986-03-26,0.0576663538813591,0.05819536950543025,0.05555029138507452,0.056079307009145665,22752000
1986-03-27,0.05872438848018646,0.05872438848018646,0.057666357171675224,0.057666357171675224,16848000
1986-03-31,0.058195360004901886,0.05872437554261001,0.057137328929485635,0.05872437554261001,12873600
1986-04-01,0.0576663538813591,0.05819536950543025,0.0576663538813591,0.05819536950543025,11088000
1986-04-02,0.058195360004901886,0.05925339108031813,0.05766634446719376,0.05766634446719376,27014400
1986-04-03,0.05872438848018646,0.06031143544295332,0.05872438848018646,0.05872438848018646,23040000
1986-04-04,0.05872438848018646,0.059253404134442085,0.05872438848018646,0.05872438848018646,26582400
1986-04-07,0.0576663538813591,0.05925340075357254,0.056608322633216815,0.05872438512950139,16560000
1986-04-08,0.058195360004901886,0.05925339108031813,0.05766634446719376,0.05766634446719376,10252800
1986-04-09,0.05925341695547104,0.05978243272419308,0.058195385418026956,0.058195385418026956,12153600
1986-04-10,0.05978243425488472,0.060311450037151874,0.05819538690808325,0.059253418472617565,13881600
1986-04-11,0.060840457677841187,0.061899097577159244,0.060311441966366106,0.060311441966366106,17222400
1986-04-14,0.06136944517493248,0.061899069119282744,0.06084042970667038,0.06084042970667038,12153600
1986-04-15,0.06136944517493248,0.06136944517493249,0.05925338330188409,0.06136944517493249,9302400
1986-04-16,0.06348612904548645,0.06401514462641947,0.0608404426646036,0.06136945824553662,31910400
1986-04-17,0.06401517242193222,0.06401517242193222,0.06348615661129951,0.06348615661129951,22003200
1986-04-18,0.0618990883231163,0.06401515085266084,0.06136946421445323,0.06401515085266084,21628800
1986-04-21,0.0618990883231163,0.06242810395550244,0.060311432949680964,0.0618990883231163,22924800
1986-04-22,0.060840457677841187,0.061899097577159244,0.06084045767784118,0.061899097577159244,15552000
1986-04-23,0.06110497936606407,0.06136948956194187,0.06031145786016993,0.0608404737110559,15609600
1986-04-24,0.06718923151493073,0.06824726257291222,0.06084043669088377,0.06110494218494572,62352000
1986-04-25,0.07142195105552673,0.07433153819899219,0.06771823455925778,0.06771823455925778,85795200
1986-04-28,0.07195097953081131,0.07247999505817573,0.07089233999992631,0.07142196400344687,28886400
1986-04-29,0.06983433663845062,0.07195100806344408,0.06930532090130162,0.07195100806344408,30326400
1986-04-30,0.06824728101491928,0.07036334370269176,0.06666023399908994,0.06983432803074864,30902400
1986-05-01,0.06718923151493073,0.06824726257291222,0.06613120045694924,0.06824726257291222,54345600
1986-05-02,0.06718923151493073,0.06824726257291222,0.06666021598593999,0.06718923151493073,20246400
1986-05-05,0.06666023284196854,0.06718924850472874,0.06666023284196854,0.06718924850472874,3254400
1986-05-06,0.06718923151493073,0.06824726257291222,0.06718923151493073,0.06718923151493073,9734400
1986-05-07,0.06718923151493073,0.06771824704392147,0.06613120045694924,0.06718923151493073,5155200
1986-05-08,0.0677182599902153,0.0677182599902153,0.06666022872996069,0.067189244360088,3542400
1986-05-09,0.06718923151493073,0.06771824704392147,0.06718923151493073,0.06771824704392147,6076800
1986-05-12,0.0677182599902153,0.06930530688059722,0.067189244360088,0.067189244360088,10483200
1986-05-13,0.06824728101491928,0.0687762966868624,0.06771826534297616,0.06771826534297616,3830400
1986-05-14,0.0677182599902153,0.0682472756203426,0.0677182599902153,0.0682472756203426,9302400
1986-05-15,0.0677182599902153,0.06877629125046991,0.0677182599902153,0.0677182599902153,3801600
1986-05-16,0.06824728101491928,0.06983432803074864,0.06771826534297616,0.06771826534297616,11952000
